kanji,heisig_number,keyword,unicode_code_point
干,1777,dry,05e72
肝,1778,liver,0809d
刊,1779,publish,0520a
汗,1780,sweat,06c57
軒,1781,flats,08ed2
岸,1782,beach,05cb8
幹,1783,tree trunk,05e79
芋,1784,potato,0828b
宇,1785,eaves,05b87
余,1786,too much,04f59
除,1787,exclude,09664
徐,1788,gradually,05f90
叙,1789,confer,053d9
途,1790,route,09014
斜,1791,diagonal,0659c
塗,1792,paint,05857
束,1793,bundle,0675f
頼,1794,trust,0983c
瀬,1795,rapids,0702c
勅,1796,imperial order,052c5
疎,1797,alienate,0758e
辣,1798,bitter,08fa3
速,1799,quick,0901f
整,1800,organize,06574
剣,1801,saber,05263
険,1802,precipitous,0967a
検,1803,examination,0691c
倹,1804,frugal,05039
重,1805,heavy,091cd
動,1806,move,052d5
腫,1807,tumor,0816b
勲,1808,meritorious deed,052f2
働,1809,work,050cd
種,1810,species,07a2e
衝,1811,collide,0885d
薫,1812,fragrant,085ab
